UBC Resistivity Measurement:2019-02-05 15:38:06.229883
==========================================================================
Sample Name: Sample
User: Username
Material: Material
==========================================================================
  Time(s)  |   Temp(K)   |  Vref(V)  |  ReVs (mV)  |  ImVs (mV)  |  Res(Ohm)  
==========================================================================
  6.98940  |  289.55000  |  0.95390  |   0.59438   |   -0.00358    |  0.06231  
  13.01574  |  289.68000  |  0.95340  |   0.59152   |   0.00000    |  0.06204  
  18.86708  |  289.91000  |  0.95350  |   0.59343   |   -0.00834    |  0.06224  
  24.88442  |  290.37000  |  0.95330  |   0.59486   |   -0.00334    |  0.06240  
  30.90077  |  290.90000  |  0.95360  |   0.58890   |   -0.00620    |  0.06176  
  36.89711  |  291.04000  |  0.95380  |   0.59486   |   -0.00596    |  0.06237  
  42.75344  |  290.69000  |  0.95340  |   0.59796   |   -0.00668    |  0.06272  
  48.78679  |  290.48000  |  0.95340  |   0.59009   |   -0.00930    |  0.06190  
  54.80313  |  289.77000  |  0.95410  |   0.59104   |   -0.00906    |  0.06195  
  60.80348  |  289.02000  |  0.95340  |   0.58937   |   -0.01097    |  0.06183  
  66.80682  |  288.32000  |  0.95410  |   0.59057   |   -0.01192    |  0.06191  
  72.82516  |  287.36000  |  0.95350  |   0.59057   |   -0.01049    |  0.06195  
  78.84951  |  286.33000  |  0.95410  |   0.58818   |   -0.00906    |  0.06166  
  84.85285  |  285.45000  |  0.95400  |   0.59033   |   -0.00763    |  0.06188  
  90.74019  |  284.38000  |  0.95410  |   0.58723   |   -0.01311    |  0.06156  
  96.75153  |  283.15000  |  0.95360  |   0.58961   |   -0.01383    |  0.06185  
  102.79688  |  282.04000  |  0.95420  |   0.58365   |   -0.01717    |  0.06119  
  108.79422  |  281.26000  |  0.95380  |   0.58580   |   -0.02217    |  0.06146  
  114.68056  |  280.12000  |  0.95350  |   0.58270   |   -0.01836    |  0.06114  
  120.69990  |  278.95000  |  0.95420  |   0.58961   |   -0.01931    |  0.06182  
  126.59624  |  278.05000  |  0.95340  |   0.58389   |   -0.02337    |  0.06129  
  132.63359  |  277.11000  |  0.95370  |   0.58675   |   -0.02003    |  0.06156  
  138.67793  |  276.10000  |  0.95350  |   0.58437   |   -0.02146    |  0.06133  
  144.70228  |  275.30000  |  0.95370  |   0.58580   |   -0.02217    |  0.06147  
  150.75762  |  274.26000  |  0.95370  |   0.58175   |   -0.02670    |  0.06106  
  156.76797  |  273.46000  |  0.95400  |   0.57817   |   -0.02575    |  0.06066  
  162.66730  |  272.91000  |  0.95400  |   0.58318   |   -0.02909    |  0.06121  
  168.70765  |  271.93000  |  0.95420  |   0.57435   |   -0.03648    |  0.06031  
  174.72099  |  271.26000  |  0.95350  |   0.57507   |   -0.03600    |  0.06043  
  180.60233  |  270.56000  |  0.95410  |   0.57507   |   -0.03314    |  0.06037  
  186.61167  |  269.90000  |  0.95400  |   0.57578   |   -0.03290    |  0.06045  
  192.48701  |  269.17000  |  0.95420  |   0.57626   |   -0.03672    |  0.06051  
  198.48435  |  268.60000  |  0.95420  |   0.57674   |   -0.04077    |  0.06059  
  204.49670  |  267.96000  |  0.95420  |   0.57435   |   -0.04101    |  0.06035  
  210.36103  |  267.46000  |  0.95410  |   0.57149   |   -0.04053    |  0.06005  
  216.39138  |  266.73000  |  0.95380  |   0.57483   |   -0.04220    |  0.06043  
  222.45172  |  266.14000  |  0.95430  |   0.57245   |   -0.04339    |  0.06016  
  228.49307  |  265.69000  |  0.95420  |   0.57364   |   -0.04053    |  0.06027  
  234.50941  |  265.14000  |  0.95440  |   0.56863   |   -0.04673    |  0.05978  
  240.36775  |  264.41000  |  0.95420  |   0.57674   |   -0.04602    |  0.06063  
  246.36609  |  264.00000  |  0.95400  |   0.56959   |   -0.05031    |  0.05994  
  252.25043  |  263.31000  |  0.95430  |   0.57006   |   -0.05054    |  0.05997  
  258.26677  |  262.80000  |  0.95440  |   0.56673   |   -0.05651    |  0.05967  
  264.26612  |  262.23000  |  0.95360  |   0.56768   |   -0.05388    |  0.05980  
  270.26546  |  261.70000  |  0.95420  |   0.57245   |   -0.05078    |  0.06023  
  276.11479  |  261.03000  |  0.95400  |   0.57006   |   -0.06032    |  0.06009  
  282.14014  |  260.53000  |  0.95370  |   0.56291   |   -0.05674    |  0.05932  
  288.14048  |  259.83000  |  0.95360  |   0.56696   |   -0.06151    |  0.05980  
  294.00682  |  259.17000  |  0.95440  |   0.55981   |   -0.06294    |  0.05903  
  300.02916  |  258.68000  |  0.95390  |   0.55957   |   -0.06557    |  0.05906  
  306.02850  |  258.09000  |  0.95410  |   0.56243   |   -0.06652    |  0.05936  
  312.04285  |  257.61000  |  0.95360  |   0.56076   |   -0.06747    |  0.05923  
  318.05319  |  256.92000  |  0.95380  |   0.55862   |   -0.06676    |  0.05898  
  324.11554  |  256.26000  |  0.95410  |   0.56029   |   -0.07248    |  0.05921  
  330.14188  |  255.61000  |  0.95400  |   0.56029   |   -0.07463    |  0.05925  
  336.14823  |  254.94000  |  0.95410  |   0.55814   |   -0.07629    |  0.05904  
  342.16857  |  254.25000  |  0.95440  |   0.55361   |   -0.08297    |  0.05865  
  348.02891  |  253.61000  |  0.95400  |   0.55218   |   -0.08202    |  0.05852  
  354.03825  |  252.88000  |  0.95440  |   0.55194   |   -0.08416    |  0.05850  
  359.90458  |  252.33000  |  0.95350  |   0.55409   |   -0.08535    |  0.05880  
  365.92093  |  251.49000  |  0.95400  |   0.55075   |   -0.08988    |  0.05849  
  371.79426  |  251.01000  |  0.95430  |   0.55361   |   -0.08440    |  0.05868  
  377.79161  |  250.27000  |  0.95380  |   0.55170   |   -0.09656    |  0.05872  
  383.81995  |  249.61000  |  0.95440  |   0.54932   |   -0.09155    |  0.05835  
  389.84030  |  248.88000  |  0.95360  |   0.54646   |   -0.09894    |  0.05824  
  395.85464  |  248.14000  |  0.95430  |   0.54503   |   -0.10228    |  0.05811  
  401.87199  |  247.64000  |  0.95380  |   0.54741   |   -0.10014    |  0.05835  
  407.73932  |  246.71000  |  0.95360  |   0.54598   |   -0.09966    |  0.05820  
  413.75167  |  246.14000  |  0.95430  |   0.54407   |   -0.10133    |  0.05799  
  419.76501  |  245.38000  |  0.95410  |   0.54288   |   -0.10586    |  0.05797  
  425.64335  |  244.79000  |  0.95380  |   0.54455   |   -0.10896    |  0.05822  
  431.66169  |  243.95000  |  0.95370  |   0.54097   |   -0.10872    |  0.05786  
  437.67003  |  243.25000  |  0.95360  |   0.54145   |   -0.11230    |  0.05799  
  443.67338  |  242.75000  |  0.95370  |   0.53788   |   -0.11683    |  0.05771  
  449.71172  |  241.90000  |  0.95440  |   0.53525   |   -0.11611    |  0.05739  
  455.68906  |  241.18000  |  0.95380  |   0.53692   |   -0.11897    |  0.05766  
  461.73441  |  240.48000  |  0.95390  |   0.53502   |   -0.12088    |  0.05750  
  467.70475  |  239.80000  |  0.95370  |   0.53478   |   -0.11492    |  0.05735  
  473.70209  |  239.13000  |  0.95380  |   0.53478   |   -0.12469    |  0.05757  
  479.66544  |  238.48000  |  0.95450  |   0.53263   |   -0.12159    |  0.05724  
  485.66378  |  237.80000  |  0.95390  |   0.53406   |   -0.12589    |  0.05752  
  491.68312  |  237.04000  |  0.95440  |   0.53144   |   -0.12970    |  0.05732  
  497.67147  |  236.48000  |  0.95430  |   0.52977   |   -0.13304    |  0.05724  
  503.67081  |  235.83000  |  0.95440  |   0.53025   |   -0.13304    |  0.05728  
  509.52514  |  234.93000  |  0.95370  |   0.52786   |   -0.13566    |  0.05715  
  515.46048  |  234.39000  |  0.95410  |   0.53239   |   -0.13352    |  0.05753  
  521.45883  |  233.71000  |  0.95430  |   0.52858   |   -0.13852    |  0.05726  
  527.32616  |  233.00000  |  0.95410  |   0.52429   |   -0.14305    |  0.05696  
  533.32550  |  232.23000  |  0.95440  |   0.52643   |   -0.13876    |  0.05704  
  539.33285  |  231.56000  |  0.95450  |   0.52643   |   -0.13900    |  0.05704  
  545.34319  |  230.84000  |  0.95380  |   0.52095   |   -0.14186    |  0.05661  
  551.34654  |  230.12000  |  0.95390  |   0.52047   |   -0.14377    |  0.05661  
  557.19987  |  229.38000  |  0.95400  |   0.52429   |   -0.14472    |  0.05701  
  563.20421  |  228.75000  |  0.95430  |   0.51999   |   -0.14687    |  0.05662  
  569.20956  |  228.03000  |  0.95440  |   0.51809   |   -0.14901    |  0.05648  
  575.05589  |  227.33000  |  0.95430  |   0.52190   |   -0.15235    |  0.05697  
  581.08424  |  226.60000  |  0.95370  |   0.51976   |   -0.15354    |  0.05683  
  587.07358  |  225.93000  |  0.95380  |   0.51570   |   -0.15450    |  0.05644  
  592.93891  |  225.20000  |  0.95370  |   0.52142   |   -0.15640    |  0.05708  
  598.92626  |  224.56000  |  0.95400  |   0.51642   |   -0.16070    |  0.05669  
  604.78859  |  223.80000  |  0.95390  |   0.51761   |   -0.15879    |  0.05676  
  610.83294  |  223.07000  |  0.95430  |   0.51546   |   -0.16284    |  0.05665  
  616.83428  |  222.42000  |  0.95440  |   0.51713   |   -0.16403    |  0.05684  
  622.82362  |  221.66000  |  0.95440  |   0.51523   |   -0.16284    |  0.05662  
  628.82597  |  220.99000  |  0.95390  |   0.51236   |   -0.16403    |  0.05640  
  634.82331  |  220.31000  |  0.95420  |   0.50903   |   -0.16451    |  0.05606  
  640.84165  |  219.54000  |  0.95360  |   0.51189   |   -0.17119    |  0.05660  
  646.85400  |  218.89000  |  0.95410  |   0.51356   |   -0.17405    |  0.05683  
  652.70833  |  218.14000  |  0.95380  |   0.51236   |   -0.17381    |  0.05672  
  658.75068  |  217.42000  |  0.95380  |   0.51308   |   -0.17428    |  0.05681  
  664.75302  |  216.71000  |  0.95450  |   0.50736   |   -0.17643    |  0.05628  
  670.79037  |  216.11000  |  0.95410  |   0.50784   |   -0.17405    |  0.05627  
  676.80671  |  215.34000  |  0.95450  |   0.50903   |   -0.17572    |  0.05642  
  682.80705  |  214.53000  |  0.95380  |   0.50688   |   -0.17810    |  0.05633  
  688.80840  |  213.90000  |  0.95380  |   0.51165   |   -0.17548    |  0.05671  
  694.82274  |  213.18000  |  0.95410  |   0.50092   |   -0.18072    |  0.05581  
  700.86609  |  212.43000  |  0.95370  |   0.50545   |   -0.18215    |  0.05634  
  706.84343  |  211.73000  |  0.95440  |   0.50402   |   -0.18239    |  0.05616  
  712.84077  |  211.02000  |  0.95390  |   0.50474   |   -0.17882    |  0.05614  
  718.80811  |  210.24000  |  0.95450  |   0.50784   |   -0.18549    |  0.05664  
  724.84846  |  209.67000  |  0.95400  |   0.50188   |   -0.18835    |  0.05619  
  730.84580  |  208.90000  |  0.95410  |   0.49997   |   -0.18835    |  0.05600  
  736.86215  |  208.31000  |  0.95390  |   0.49973   |   -0.18907    |  0.05601  
  742.72548  |  207.68000  |  0.95420  |   0.49878   |   -0.19217    |  0.05602  
  748.73883  |  207.05000  |  0.95380  |   0.50164   |   -0.19455    |  0.05641  
  754.76117  |  206.36000  |  0.95380  |   0.50307   |   -0.19264    |  0.05648  
  760.77251  |  205.73000  |  0.95400  |   0.49973   |   -0.19050    |  0.05606  
  766.63085  |  205.00000  |  0.95450  |   0.50116   |   -0.19336    |  0.05628  
  772.60819  |  204.30000  |  0.95400  |   0.50235   |   -0.19288    |  0.05641  
  778.62053  |  203.64000  |  0.95440  |   0.50235   |   -0.19431    |  0.05644  
  784.66688  |  203.00000  |  0.95450  |   0.50259   |   -0.19288    |  0.05640  
  790.69922  |  202.23000  |  0.95370  |   0.49878   |   -0.19622    |  0.05620  
  796.65057  |  201.49000  |  0.95420  |   0.49997   |   -0.19550    |  0.05626  
  802.64991  |  200.82000  |  0.95440  |   0.49830   |   -0.19717    |  0.05615  
  808.61825  |  200.08000  |  0.95400  |   0.49663   |   -0.19384    |  0.05588  
  814.62659  |  199.47000  |  0.95370  |   0.49568   |   -0.19169    |  0.05573  
  820.65694  |  198.81000  |  0.95440  |   0.49806   |   -0.19622    |  0.05609  
  826.69428  |  198.16000  |  0.95380  |   0.50021   |   -0.19836    |  0.05642  
  832.70563  |  197.54000  |  0.95380  |   0.49830   |   -0.19860    |  0.05624  
  838.72697  |  196.76000  |  0.95420  |   0.49472   |   -0.19884    |  0.05588  
  844.73532  |  196.07000  |  0.95460  |   0.49830   |   -0.19789    |  0.05617  
  850.72066  |  195.44000  |  0.95440  |   0.49591   |   -0.20218    |  0.05611  
  856.72000  |  194.68000  |  0.95450  |   0.50188   |   -0.19241    |  0.05631  
  862.72834  |  194.11000  |  0.95400  |   0.49591   |   -0.19574    |  0.05589  
  868.72569  |  193.33000  |  0.95420  |   0.49687   |   -0.19980    |  0.05612  
  874.77103  |  192.64000  |  0.95040  |   0.50974   |   -0.16737    |  0.05645  
  880.78738  |  191.92000  |  0.95020  |   0.50450   |   -0.17381    |  0.05616  
  886.76072  |  191.26000  |  0.94860  |   0.50402   |   -0.17572    |  0.05627  
  892.72006  |  190.54000  |  0.95070  |   0.50426   |   -0.16976    |  0.05597  
  898.72340  |  189.95000  |  0.95180  |   0.51141   |   -0.16356    |  0.05641  
  904.74375  |  189.38000  |  0.95210  |   0.50640   |   -0.16213    |  0.05585  
  910.79009  |  188.90000  |  0.95240  |   0.50569   |   -0.16642    |  0.05590  
  916.80044  |  188.21000  |  0.95380  |   0.50927   |   -0.17285    |  0.05639  
  922.80078  |  187.55000  |  0.95390  |   0.50879   |   -0.16356    |  0.05603  
  928.80612  |  186.97000  |  0.95320  |   0.50807   |   -0.16427    |  0.05602  
  934.81647  |  186.20000  |  0.95400  |   0.51236   |   -0.16117    |  0.05630  
  940.66980  |  185.60000  |  0.95350  |   0.50640   |   -0.16546    |  0.05587  
  946.70315  |  184.92000  |  0.95350  |   0.51546   |   -0.15068    |  0.05632  
  952.66849  |  184.26000  |  0.95320  |   0.51380   |   -0.15807    |  0.05640  
  958.69683  |  183.61000  |  0.95270  |   0.51236   |   -0.16213    |  0.05641  
  964.68518  |  182.90000  |  0.95250  |   0.51213   |   -0.15783    |  0.05626  
  970.72452  |  182.22000  |  0.95270  |   0.51236   |   -0.16070    |  0.05636  
  976.68986  |  181.49000  |  0.95250  |   0.50950   |   -0.15283    |  0.05585  
  982.71721  |  180.78000  |  0.95130  |   0.50807   |   -0.16093    |  0.05602  
  988.73555  |  180.07000  |  0.95060  |   0.51046   |   -0.16427    |  0.05641  
  994.73690  |  179.38000  |  0.94890  |   0.50211   |   -0.16618    |  0.05574  
  1000.76824  |  178.71000  |  0.94840  |   0.50545   |   -0.16546    |  0.05608  
  1006.77358  |  178.03000  |  0.94840  |   0.50450   |   -0.16713    |  0.05604  
  1012.78993  |  177.28000  |  0.94840  |   0.50450   |   -0.16999    |  0.05613  
  1018.79027  |  176.69000  |  0.94850  |   0.50307   |   -0.16713    |  0.05589  
  1024.78961  |  176.26000  |  0.94770  |   0.50354   |   -0.17166    |  0.05614  
  1030.65195  |  175.64000  |  0.94770  |   0.49973   |   -0.16832    |  0.05564  
  1036.62829  |  175.00000  |  0.94690  |   0.50044   |   -0.17071    |  0.05584  
  1042.63463  |  174.37000  |  0.94660  |   0.50402   |   -0.16904    |  0.05616  
  1048.49697  |  173.71000  |  0.94670  |   0.50378   |   -0.16618    |  0.05603  
  1054.48631  |  173.10000  |  0.94710  |   0.50140   |   -0.16379    |  0.05569  
  1060.49666  |  172.41000  |  0.94740  |   0.50235   |   -0.16737    |  0.05589  
  1066.49800  |  171.75000  |  0.94670  |   0.50164   |   -0.16689    |  0.05584  
  1072.35234  |  170.96000  |  0.94740  |   0.50164   |   -0.16904    |  0.05587  
  1078.25567  |  170.30000  |  0.94720  |   0.49830   |   -0.17119    |  0.05563  
  1084.25302  |  169.60000  |  0.94720  |   0.49925   |   -0.17119    |  0.05572  
  1090.13535  |  168.94000  |  0.94730  |   0.49758   |   -0.17238    |  0.05559  
  1096.11869  |  168.27000  |  0.94670  |   0.49544   |   -0.17500    |  0.05550  
  1102.17004  |  167.63000  |  0.94720  |   0.49830   |   -0.17333    |  0.05570  
  1108.15538  |  167.00000  |  0.94680  |   0.49973   |   -0.17452    |  0.05591  
  1114.16673  |  166.27000  |  0.94710  |   0.49734   |   -0.17357    |  0.05562  
  1120.19007  |  165.57000  |  0.94670  |   0.49496   |   -0.17643    |  0.05550  
  1126.21242  |  164.95000  |  0.94830  |   0.49758   |   -0.17953    |  0.05578  
  1132.25076  |  164.16000  |  0.95110  |   0.49687   |   -0.18191    |  0.05563  
  1138.25410  |  163.55000  |  0.95210  |   0.49997   |   -0.18024    |  0.05582  
  1144.25445  |  162.86000  |  0.95220  |   0.50164   |   -0.17977    |  0.05596  
  1150.25179  |  162.10000  |  0.95270  |   0.50450   |   -0.18263    |  0.05632  
  1156.09613  |  161.60000  |  0.95270  |   0.50068   |   -0.18454    |  0.05601  
  1162.12347  |  161.08000  |  0.95250  |   0.50116   |   -0.18048    |  0.05592  
  1168.14681  |  160.57000  |  0.95200  |   0.50092   |   -0.17786    |  0.05584  
  1174.11116  |  160.07000  |  0.95220  |   0.50211   |   -0.17357    |  0.05579  
  1180.07550  |  159.50000  |  0.95220  |   0.50450   |   -0.17953    |  0.05624  
  1186.07184  |  158.95000  |  0.95180  |   0.50283   |   -0.17834    |  0.05605  
  1191.94418  |  158.38000  |  0.95170  |   0.50188   |   -0.17905    |  0.05599  
  1197.95152  |  157.84000  |  0.95250  |   0.50188   |   -0.18072    |  0.05600  
  1203.96586  |  157.23000  |  0.95230  |   0.50402   |   -0.18573    |  0.05641  
  1209.83220  |  156.56000  |  0.95250  |   0.50640   |   -0.18334    |  0.05654  
  1215.84354  |  156.06000  |  0.95280  |   0.50092   |   -0.18263    |  0.05596  
  1221.83089  |  155.48000  |  0.95290  |   0.50092   |   -0.18334    |  0.05598  
  1227.82723  |  154.88000  |  0.95300  |   0.49997   |   -0.18573    |  0.05597  
  1233.85357  |  154.28000  |  0.95270  |   0.50259   |   -0.17953    |  0.05602  
  1239.87192  |  153.66000  |  0.95300  |   0.50140   |   -0.17834    |  0.05584  
  1245.88026  |  153.12000  |  0.95240  |   0.50378   |   -0.18287    |  0.05627  
  1251.90061  |  152.54000  |  0.95310  |   0.50474   |   -0.18692    |  0.05647  
  1257.74794  |  151.99000  |  0.95300  |   0.49878   |   -0.17548    |  0.05548  
  1263.76028  |  151.39000  |  0.95280  |   0.49973   |   -0.18835    |  0.05605  
  1269.77563  |  150.81000  |  0.95320  |   0.50307   |   -0.18454    |  0.05622  
  1275.77897  |  150.22000  |  0.95320  |   0.49711   |   -0.18978    |  0.05582  
  1281.64431  |  149.67000  |  0.95240  |   0.49925   |   -0.18239    |  0.05581  
  1287.64665  |  149.12000  |  0.95250  |   0.50426   |   -0.18406    |  0.05636  
  1293.65899  |  148.66000  |  0.95270  |   0.50068   |   -0.18239    |  0.05593  
  1299.67634  |  148.04000  |  0.95300  |   0.49925   |   -0.17524    |  0.05552  
  1305.68768  |  147.50000  |  0.95290  |   0.50092   |   -0.17715    |  0.05576  
  1311.72103  |  147.00000  |  0.95250  |   0.50092   |   -0.17428    |  0.05568  
  1317.72537  |  146.49000  |  0.95240  |   0.50545   |   -0.17667    |  0.05622  
  1323.74971  |  145.88000  |  0.95180  |   0.49830   |   -0.18406    |  0.05581  
  1329.76706  |  145.36000  |  0.95230  |   0.50044   |   -0.18668    |  0.05609  
  1335.77540  |  144.87000  |  0.95190  |   0.50140   |   -0.18740    |  0.05623  
  1341.78175  |  144.36000  |  0.91440  |   0.50068   |   -0.18120    |  0.05823  
  1347.63208  |  143.83000  |  0.89200  |   0.49997   |   -0.17905    |  0.05954  
  1353.63342  |  143.43000  |  0.92780  |   0.50044   |   -0.18334    |  0.05744  
  1359.67177  |  142.87000  |  0.94720  |   0.50211   |   -0.18168    |  0.05637  
  1365.69111  |  142.36000  |  0.94990  |   0.49878   |   -0.17357    |  0.05560  
  1371.70046  |  141.87000  |  0.95070  |   0.50140   |   -0.18048    |  0.05605  
  1377.72280  |  141.42000  |  0.95140  |   0.50426   |   -0.18096    |  0.05631  
  1383.72815  |  140.89000  |  0.94600  |   0.49758   |   -0.18024    |  0.05594  
  1389.58848  |  140.42000  |  0.94660  |   0.49496   |   -0.18525    |  0.05583  
  1395.59582  |  139.94000  |  0.94610  |   0.49496   |   -0.18501    |  0.05585  
  1401.59817  |  139.51000  |  0.94610  |   0.49663   |   -0.18239    |  0.05592  
  1407.47650  |  139.08000  |  0.94480  |   0.49496   |   -0.17858    |  0.05569  
  1413.49685  |  138.63000  |  0.92970  |   0.49377   |   -0.18215    |  0.05661  
  1419.51719  |  138.17000  |  0.92540  |   0.49711   |   -0.17953    |  0.05711  
  1425.50253  |  137.78000  |  0.92540  |   0.49687   |   -0.17166    |  0.05681  
  1431.49688  |  137.31000  |  0.92420  |   0.49615   |   -0.17786    |  0.05703  
  1437.50222  |  136.89000  |  0.92490  |   0.50092   |   -0.17572    |  0.05739  
  1443.54657  |  136.47000  |  0.89850  |   0.49425   |   -0.17572    |  0.05838  
  1449.52691  |  136.06000  |  0.90550  |   0.49544   |   -0.18168    |  0.05828  
  1455.52625  |  135.64000  |  0.91080  |   0.49591   |   -0.17667    |  0.05780  
  1461.54660  |  135.28000  |  0.94340  |   0.49568   |   -0.17643    |  0.05577  
  1467.58894  |  134.85000  |  0.94630  |   0.49663   |   -0.18001    |  0.05582  
  1473.56228  |  134.47000  |  0.94660  |   0.49734   |   -0.17953    |  0.05586  
  1479.59463  |  134.10000  |  0.94710  |   0.49830   |   -0.17190    |  0.05566  
  1485.61197  |  133.77000  |  0.94670  |   0.50283   |   -0.17095    |  0.05610  
  1491.62432  |  133.35000  |  0.94740  |   0.50283   |   -0.15950    |  0.05568  
  1497.62866  |  133.01000  |  0.94740  |   0.50593   |   -0.15736    |  0.05593  
  1503.67100  |  132.64000  |  0.94670  |   0.50235   |   -0.15736    |  0.05561  
  1509.62434  |  132.29000  |  0.94710  |   0.50259   |   -0.15378    |  0.05549  
  1515.64169  |  131.90000  |  0.94560  |   0.50545   |   -0.15283    |  0.05584  
  1521.66403  |  131.56000  |  0.81790  |   0.51094   |   -0.14305    |  0.06487  
  1527.72738  |  131.25000  |  0.84310  |   0.50688   |   -0.14997    |  0.06270  
  1533.72672  |  130.84000  |  0.80780  |   0.50927   |   -0.14854    |  0.06567  
  1539.71207  |  130.52000  |  0.81190  |   0.51141   |   -0.14210    |  0.06538  
  1545.76841  |  130.16000  |  0.83980  |   0.50474   |   -0.15879    |  0.06301  
  1551.81276  |  129.84000  |  0.79110  |   0.50474   |   -0.15903    |  0.06689  
  1557.80210  |  129.51000  |  0.76320  |   0.50307   |   -0.15855    |  0.06911  
  1563.81444  |  129.18000  |  0.75590  |   0.50378   |   -0.16117    |  0.06997  
  1569.81779  |  128.84000  |  0.76570  |   0.50736   |   -0.14877    |  0.06905  
  1575.83213  |  128.56000  |  0.77420  |   0.50760   |   -0.14114    |  0.06805  
  1581.84048  |  128.16000  |  0.77000  |   0.51952   |   -0.11849    |  0.06920  
  1587.84782  |  127.88000  |  0.76530  |   0.52762   |   -0.08392    |  0.06981  
  1593.71816  |  127.56000  |  0.78150  |   0.52286   |   -0.09775    |  0.06806  
  1599.69550  |  127.25000  |  0.77590  |   0.53120   |   -0.07629    |  0.06916  
  1605.74784  |  126.97000  |  0.78130  |   0.53287   |   -0.07486    |  0.06887  
  1611.76619  |  126.65000  |  0.91800  |   0.52762   |   -0.08106    |  0.05815  
  1617.62952  |  126.33000  |  0.94670  |   0.53168   |   -0.07248    |  0.05668  
  1623.64987  |  126.07000  |  0.94710  |   0.52810   |   -0.09060    |  0.05657  
  1629.70621  |  125.76000  |  0.94690  |   0.52429   |   -0.09346    |  0.05624  
  1635.71656  |  125.48000  |  0.94710  |   0.52596   |   -0.09584    |  0.05645  
  1641.76890  |  125.21000  |  0.94730  |   0.53645   |   -0.05746    |  0.05695  
  1647.78525  |  124.89000  |  0.94700  |   0.52524   |   -0.09584    |  0.05638  
  1653.65158  |  124.63000  |  0.94710  |   0.52214   |   -0.09227    |  0.05598  
  1659.67593  |  124.34000  |  0.94730  |   0.54026   |   -0.06318    |  0.05742  
  1665.69327  |  124.10000  |  0.94670  |   0.53311   |   -0.06032    |  0.05667  
  1671.70862  |  123.80000  |  0.94670  |   0.53525   |   -0.06318    |  0.05693  
  1677.73696  |  123.54000  |  0.94700  |   0.53072   |   -0.06199    |  0.05642  
  1683.60730  |  123.22000  |  0.94680  |   0.53311   |   -0.06223    |  0.05669  
  1689.57064  |  122.96000  |  0.94460  |   0.52977   |   -0.06390    |  0.05649  
  1695.59298  |  122.64000  |  0.94230  |   0.52834   |   -0.06843    |  0.05654  
  1701.62733  |  122.42000  |  0.94740  |   0.52929   |   -0.07200    |  0.05638  
  1707.66567  |  122.14000  |  0.94710  |   0.53311   |   -0.06962    |  0.05677  
  1713.69202  |  121.86000  |  0.94710  |   0.52810   |   -0.08321    |  0.05645  
  1719.55235  |  121.57000  |  0.94690  |   0.53263   |   -0.07772    |  0.05685  
  1725.58970  |  121.30000  |  0.94690  |   0.53144   |   -0.07916    |  0.05674  
  1731.60504  |  121.03000  |  0.94690  |   0.52929   |   -0.07796    |  0.05650  
  1737.48038  |  120.78000  |  0.94750  |   0.52476   |   -0.08249    |  0.05606  
  1743.48372  |  120.50000  |  0.94680  |   0.52643   |   -0.07749    |  0.05620  
  1749.51407  |  120.24000  |  0.94720  |   0.52667   |   -0.07987    |  0.05624  
  1755.53841  |  119.95000  |  0.94760  |   0.52524   |   -0.07916    |  0.05605  
  1761.40475  |  119.69000  |  0.94760  |   0.52715   |   -0.07939    |  0.05626  
  1767.41709  |  119.46000  |  0.94720  |   0.52858   |   -0.07987    |  0.05644  
  1773.27943  |  119.22000  |  0.94730  |   0.53525   |   -0.05150    |  0.05676  
  1779.32577  |  118.98000  |  0.94750  |   0.53645   |   -0.04721    |  0.05684  
  1785.33211  |  118.69000  |  0.94740  |   0.53573   |   -0.04721    |  0.05677  
  1791.37746  |  118.48000  |  0.94750  |   0.53430   |   -0.05007    |  0.05664  
  1797.40280  |  118.23000  |  0.94740  |   0.53597   |   -0.05293    |  0.05685  
  1803.40915  |  117.96000  |  0.94730  |   0.53525   |   -0.05317    |  0.05678  
  1809.45150  |  117.72000  |  0.94770  |   0.53287   |   -0.05651    |  0.05654  
  1815.48084  |  117.46000  |  0.94730  |   0.53597   |   -0.04530    |  0.05678  
  1821.50018  |  117.25000  |  0.94740  |   0.53406   |   -0.05102    |  0.05663  
  1827.35652  |  116.98000  |  0.94750  |   0.53263   |   -0.04506    |  0.05642  
  1833.34586  |  116.76000  |  0.94770  |   0.53263   |   -0.05150    |  0.05646  
  1839.36921  |  116.53000  |  0.94740  |   0.53192   |   -0.04768    |  0.05637  
  1845.27354  |  116.28000  |  0.94770  |   0.53096   |   -0.05007    |  0.05627  
  1851.30789  |  116.06000  |  0.94720  |   0.53168   |   -0.05317    |  0.05641  
  1857.33623  |  115.80000  |  0.94770  |   0.53311   |   -0.04935    |  0.05649  
  1863.35958  |  115.57000  |  0.94780  |   0.53239   |   -0.05341    |  0.05645  
  1869.24691  |  115.35000  |  0.94750  |   0.53192   |   -0.05317    |  0.05642  
  1875.26826  |  115.14000  |  0.94770  |   0.53144   |   -0.05054    |  0.05633  
  1881.27160  |  114.88000  |  0.94760  |   0.53430   |   -0.05007    |  0.05663  
  1887.13294  |  114.68000  |  0.94740  |   0.53144   |   -0.04530    |  0.05630  
  1893.12828  |  114.42000  |  0.94710  |   0.53096   |   -0.05150    |  0.05632  
  1899.15663  |  114.22000  |  0.94710  |   0.52977   |   -0.05126    |  0.05620  
  1905.03596  |  114.03000  |  0.94770  |   0.53096   |   -0.05317    |  0.05631  
  1911.01730  |  113.81000  |  0.94770  |   0.53263   |   -0.05412    |  0.05649  
